"k","mu","V","muN","minN","sd.w","tail","true.effect.dist","TheoryP","q","scen.name"
20,0.5,0.04,150,100,1,"above","expo",0.1,0.760517018598809,69
5,0.5,0.01,850,800,1,"above","normal",0.5,0.5,236
20,0.5,0.01,850,800,1,"above","normal",0.5,0.5,239
5,0.5,0.04,850,800,1,"above","normal",0.5,0.5,231
10,0.5,0.04,850,800,1,"above","normal",0.5,0.5,232
10,0.5,0.25,850,800,1,"above","normal",0.5,0.5,227
15,0.5,0.25,850,800,1,"above","normal",0.5,0.5,228
20,0.5,0.25,850,800,1,"above","normal",0.5,0.5,229
50,0.5,0.01,850,800,1,"above","normal",0.5,0.5,240
50,0.5,0.25,850,800,1,"above","normal",0.5,0.5,230
