"","k","mu","V","q","muN","minN","tail","sd.w","scen.name"
"1",10,0.5,0.01,0.664485362695147,150,100,"above",1,1
"5",10,0.5,0.04,0.828970725390294,150,100,"above",1,2
"9",10,0.5,0.25,1.32242681347574,150,100,"above",1,3
"10",10,0.5,0.01,0.62815515655446,150,100,"above",1,4
"14",10,0.5,0.04,0.75631031310892,150,100,"above",1,5
"18",10,0.5,0.25,1.1407757827723,150,100,"above",1,6
"19",10,0.5,0.01,0.584162123357291,150,100,"above",1,7
"23",10,0.5,0.04,0.668324246714583,150,100,"above",1,8
"27",10,0.5,0.25,0.920810616786457,150,100,"above",1,9
"28",10,0.5,0.01,0.5,150,100,"above",1,10
"29",10,0.5,0.04,0.5,150,100,"above",1,11
"30",10,0.5,0.25,0.5,150,100,"above",1,12
"31",10,0.5,0.01,0.664485362695147,850,800,"above",1,13
"35",10,0.5,0.04,0.828970725390294,850,800,"above",1,14
"39",10,0.5,0.25,1.32242681347574,850,800,"above",1,15
"40",10,0.5,0.01,0.62815515655446,850,800,"above",1,16
"44",10,0.5,0.04,0.75631031310892,850,800,"above",1,17
"48",10,0.5,0.25,1.1407757827723,850,800,"above",1,18
"49",10,0.5,0.01,0.584162123357291,850,800,"above",1,19
"53",10,0.5,0.04,0.668324246714583,850,800,"above",1,20
"57",10,0.5,0.25,0.920810616786457,850,800,"above",1,21
"58",10,0.5,0.01,0.5,850,800,"above",1,22
"59",10,0.5,0.04,0.5,850,800,"above",1,23
"60",10,0.5,0.25,0.5,850,800,"above",1,24
